id,genero,instrução,filhos,idade,altura,salário
1,Female,Support,2,5,141,3394.59
2,Female,Marketing,3,55,105,4678.12
3,Female,Business Development,2,97,138,4003.1
4,Female,Business Development,0,7,117,3843.01
5,Female,Services,1,85,123,1899.07
6,Male,Support,1,16,163,4027.35
7,Female,Engineering,0,67,175,2836.36
8,Female,Marketing,2,70,159,2459.6
9,Female,Legal,0,0,154,4589.68
10,Male,Product Management,3,36,105,1908.53
11,Male,Accounting,2,75,199,4765.83
12,Female,Engineering,2,72,140,4868.99
13,Male,Accounting,0,16,161,3165.66
14,Female,Engineering,3,49,118,4120.11
15,Male,Support,1,56,104,4591.17
16,Female,Product Management,1,57,126,1905.56
17,Male,Human Resources,2,91,169,4229.87
18,Female,Services,2,20,160,1941.47
19,Male,Services,2,89,198,4186.17
20,Female,Services,1,79,148,4902.87
21,Female,Training,1,38,176,2455.65
22,Female,Engineering,0,27,169,3644.74
23,Male,Research and Development,0,74,123,2578.17
24,Female,Training,3,29,158,4955.49
25,Female,Accounting,1,26,153,1157.73
26,Female,Accounting,3,95,182,1416.66
27,Female,Legal,2,7,183,4510.9
28,Male,Research and Development,0,69,114,1997.58
29,Female,Human Resources,0,70,179,4767.16
30,Female,Business Development,1,46,190,2339.02
31,Female,Human Resources,2,6,101,3787.13
32,Female,Research and Development,1,1,158,4669.94
33,Female,Product Management,1,99,155,4306.36
34,Male,Human Resources,3,3,161,1188.86
35,Female,Support,2,53,161,1060.97
36,Female,Services,3,81,182,2597.9
37,Male,Services,3,72,150,3653.83
38,Male,Sales,1,79,123,3530.42
39,Female,Engineering,1,87,120,4189.88
40,Male,Training,0,35,137,4523.78
41,Female,Services,1,92,128,1105.32
42,Male,Research and Development,3,1,142,4938.14
43,Female,Business Development,0,15,179,1673.07
44,Male,Sales,3,59,157,4213.93
45,Male,Services,1,22,144,2826.02
46,Female,Services,0,82,199,1175.63
47,Male,Product Management,3,11,157,3655.17
48,Male,Support,2,66,163,4953.29
49,Male,Human Resources,1,86,198,4874.16
50,Male,Services,2,94,181,1856.35
51,Male,Engineering,1,86,179,3458.65
52,Female,Research and Development,0,75,169,2563.58
53,Female,Research and Development,0,78,114,1108.68
54,Male,Business Development,2,50,106,3917.24
55,Female,Product Management,3,35,103,4354.77
56,Male,Research and Development,0,60,143,2506.89
57,Male,Sales,2,35,177,2086.88
58,Female,Business Development,3,45,186,1184.75
59,Male,Sales,2,16,138,3068.72
60,Female,Legal,2,81,107,2453.79
61,Female,Business Development,3,2,200,3242.04
62,Male,Accounting,3,9,133,1951.76
63,Female,Human Resources,1,29,101,2133.17
64,Female,Engineering,3,76,115,1271.32
65,Male,Training,1,60,158,4557.84
66,Male,Marketing,1,67,102,4717.71
67,Male,Business Development,2,61,156,4463.4
68,Male,Training,2,11,100,4546.57
69,Male,Legal,3,57,119,1071.47
70,Female,Human Resources,0,24,100,2236.75
71,Female,Support,1,4,193,2962.01
72,Male,Sales,2,84,113,3209.32
73,Female,Legal,2,41,146,3631.4
74,Male,Engineering,2,6,106,2149.5
75,Female,Accounting,1,49,182,4218.88
76,Female,Product Management,3,48,131,1929.01
77,Female,Support,2,41,131,1708.15
78,Male,Legal,3,87,138,4962.97
79,Male,Engineering,1,42,147,1973.66
80,Female,Sales,1,54,160,1202.81
81,Male,Engineering,0,39,178,4449.47
82,Female,Marketing,2,61,171,1719.51
83,Female,Sales,1,87,153,3974.44
84,Female,Product Management,3,96,100,4486.34
85,Female,Accounting,2,18,193,4337.74
86,Male,Research and Development,3,29,105,4110.54
87,Male,Business Development,2,73,122,3540.51
88,Male,Training,2,2,189,4436.29
89,Female,Accounting,3,27,189,4267.61
90,Male,Human Resources,1,26,133,2639.68
91,Male,Marketing,2,26,139,4217.63
92,Male,Legal,1,77,143,3238.38
93,Female,Accounting,0,7,181,4124.87
94,Female,Legal,2,77,189,3317.89
95,Male,Human Resources,3,35,168,2410.02
96,Male,Training,1,88,103,4780.16
97,Female,Training,1,74,188,3684.75
98,Female,Sales,0,15,184,2937.48
99,Male,Marketing,2,22,167,3269.27
100,Female,Product Management,1,40,119,2587.25
101,Male,Human Resources,0,43,133,1906.46
102,Female,Training,3,91,131,1804.36
103,Female,Sales,1,94,129,2044.61
104,Male,Human Resources,2,36,184,4335.05
105,Female,Support,1,62,171,3072.14
106,Female,Business Development,0,17,136,2915.05
107,Male,Training,0,19,107,4045.86
108,Female,Sales,1,72,125,3314.89
109,Female,Sales,1,76,108,1046.05
110,Male,Support,0,78,148,4050.02
111,Female,Support,2,46,193,3330.56
112,Female,Training,1,77,130,1902.73
113,Male,Support,0,2,137,1015.61
114,Male,Research and Development,2,7,192,4699.53
115,Female,Sales,0,70,100,1723.96
116,Female,Human Resources,3,50,134,2566.69
117,Male,Support,3,43,121,3908.38
118,Female,Engineering,0,19,135,3236.85
119,Male,Human Resources,1,89,111,3657.08
120,Female,Research and Development,3,14,100,2730.55
121,Female,Legal,2,49,160,2835.79
122,Female,Accounting,3,49,171,2066.81
123,Male,Engineering,2,26,156,3197.26
124,Male,Sales,1,67,156,3603.75
125,Female,Accounting,3,87,149,1385.09
126,Female,Human Resources,2,6,137,4753.33
127,Male,Support,2,5,120,3094.15
128,Male,Training,1,25,163,1693.13
129,Male,Engineering,0,35,102,4272.94
130,Male,Services,3,64,118,3544.59
131,Female,Accounting,3,94,111,1959.3
132,Female,Research and Development,0,83,124,3514.03
133,Female,Marketing,0,1,179,3043.86
134,Male,Marketing,3,76,200,3975.21
135,Female,Human Resources,2,45,155,1867.1
136,Female,Engineering,1,62,188,1022.92
137,Female,Research and Development,0,91,136,1958.14
138,Female,Services,1,24,131,4740.98
139,Male,Support,1,68,180,3182.5
140,Female,Training,1,83,107,1677.19
141,Female,Engineering,2,91,132,1610.25
142,Female,Human Resources,3,20,119,3780.4
143,Female,Services,2,95,175,2636.06
144,Male,Support,3,30,148,4488.87
145,Male,Accounting,1,54,191,2332.44
146,Male,Sales,2,66,111,2840.98
147,Male,Human Resources,3,42,166,4201.43
148,Female,Support,1,85,127,3863.04
149,Male,Legal,1,65,127,4920.74
150,Male,Business Development,3,42,200,3540.72
151,Female,Engineering,2,10,176,3138.58
152,Male,Engineering,0,0,166,4420.66
153,Female,Sales,0,38,133,4229.72
154,Female,Human Resources,3,16,138,2213.25
155,Male,Product Management,3,77,100,4986.96
156,Male,Support,3,91,103,2758.51
157,Male,Marketing,2,42,108,4269.32
158,Male,Sales,0,36,147,2028.71
159,Male,Accounting,3,66,132,2350.14
160,Female,Engineering,1,51,144,2079.34
161,Female,Product Management,3,66,116,1442.57
162,Female,Research and Development,0,84,103,2222.9
163,Male,Services,1,54,178,3324.32
164,Male,Accounting,1,16,185,4529.54
165,Female,Training,2,88,108,1587.68
166,Male,Research and Development,0,85,119,4877.02
167,Male,Training,2,0,198,3174.93
168,Female,Support,2,92,179,2004.61
169,Female,Accounting,2,12,130,1439.12
170,Male,Engineering,1,73,126,1918.5
171,Female,Accounting,0,10,171,1323.16
172,Male,Support,3,50,192,1573.92
173,Male,Marketing,3,75,182,1244.13
174,Female,Training,3,79,143,3897.47
175,Male,Product Management,2,66,154,2393.36
176,Male,Marketing,0,63,165,3525.62
177,Male,Accounting,2,16,188,1514.7
178,Female,Product Management,1,40,145,3310.02
179,Female,Support,0,80,157,4661.1
180,Female,Engineering,2,73,189,3599.15
181,Female,Training,1,46,139,4074.38
182,Female,Support,3,96,172,2790.51
183,Male,Marketing,0,62,193,2012.06
184,Female,Services,2,81,165,4733.29
185,Female,Training,2,9,105,2553.87
186,Male,Human Resources,0,65,118,4486.47
187,Female,Training,3,18,145,3526.79
188,Female,Engineering,0,7,102,1583.67
189,Female,Legal,1,70,189,3277.31
190,Female,Research and Development,2,87,188,4952.97
191,Male,Engineering,0,46,135,3187.54
192,Female,Services,2,52,137,1768.87
193,Female,Training,1,37,169,2845.68
194,Female,Support,2,72,184,3943.72
195,Female,Marketing,0,77,118,1338.08
196,Male,Human Resources,3,43,144,2640.34
197,Male,Services,2,46,156,1295.87
198,Male,Business Development,1,4,162,2510.91
199,Female,Business Development,1,66,104,4477.8
200,Female,Engineering,3,76,112,3950.29
201,Female,Support,1,33,134,3078.83
202,Male,Business Development,3,29,152,1229.47
203,Male,Human Resources,0,96,108,3862.71
204,Female,Marketing,0,5,197,1806.33
205,Female,Sales,0,34,186,4824.5
206,Female,Marketing,2,35,132,2684.02
207,Female,Legal,3,8,138,4003.32
208,Male,Accounting,1,3,191,1524.68
209,Female,Product Management,3,29,195,2933.25
210,Male,Sales,1,87,179,2060.14
211,Male,Product Management,0,65,194,3657.39
212,Male,Product Management,1,36,187,1036.24
213,Female,Product Management,2,42,120,4378.57
214,Female,Engineering,0,60,102,3809.6
215,Male,Accounting,3,74,105,3425.8
216,Female,Marketing,0,43,134,1429.05
217,Female,Accounting,0,50,131,2586.75
218,Male,Human Resources,2,67,142,2504.85
219,Female,Sales,2,7,191,4190.58
220,Male,Sales,0,95,169,1674.24
221,Female,Accounting,2,91,182,4267.23
222,Male,Business Development,2,76,137,3706.41
223,Male,Training,2,64,158,1251.02
224,Female,Sales,2,1,160,4196.77
225,Male,Support,3,26,151,1062.85
226,Male,Business Development,3,66,143,2376.82
227,Female,Research and Development,1,13,144,1301.04
228,Male,Services,3,18,169,3729.44
229,Female,Business Development,2,24,150,3250.32
230,Female,Research and Development,1,47,190,2373.35
231,Female,Sales,3,88,170,1329.49
232,Male,Marketing,1,26,200,4804.39
233,Female,Marketing,3,77,123,4840.47
234,Female,Accounting,2,52,147,4703.05
235,Female,Services,0,62,108,4028.74
236,Male,Product Management,3,12,111,3731.13
237,Male,Research and Development,3,3,150,2324.37
238,Male,Support,3,47,161,1634.12
239,Male,Legal,0,3,160,3112.82
240,Male,Training,3,72,121,4812.3
241,Male,Human Resources,1,68,145,1518.34
242,Male,Engineering,1,4,157,1802.81
243,Male,Legal,0,42,141,1218.6
244,Male,Legal,2,23,107,2119.54
245,Female,Research and Development,3,88,188,3966.87
246,Male,Business Development,3,52,177,4056.92
247,Female,Legal,0,37,120,3463.76
248,Female,Legal,3,25,175,2418.37
249,Male,Research and Development,0,84,103,2776.81
250,Male,Accounting,1,85,100,1413.03
251,Male,Engineering,1,78,174,3051.33
252,Female,Sales,3,31,167,4873.43
253,Male,Services,3,81,176,2914.12
254,Female,Human Resources,0,82,189,4783.21
255,Female,Research and Development,1,24,144,4290.98
256,Female,Support,1,44,138,4757.59
257,Male,Accounting,1,91,182,3379.51
258,Male,Services,3,60,161,4448.7
259,Male,Research and Development,1,65,105,2551.71
260,Female,Product Management,3,59,160,1148.14
261,Female,Business Development,2,91,189,4962.01
262,Female,Sales,0,34,169,1677.51
263,Female,Accounting,1,21,169,2121.33
264,Female,Product Management,3,80,140,4151.65
265,Male,Research and Development,1,17,110,2849.97
266,Male,Product Management,1,86,141,4273.69
267,Female,Research and Development,1,99,108,4494.34
268,Male,Research and Development,0,20,129,1397.56
269,Female,Human Resources,1,53,132,1856.61
270,Male,Product Management,3,41,159,1227.03
271,Male,Business Development,1,79,147,2878.72
272,Female,Business Development,1,72,138,2386.64
273,Female,Accounting,1,59,138,1029.25
274,Female,Legal,1,6,176,4080.75
275,Male,Marketing,0,84,111,4686.63
276,Male,Services,3,69,140,4827.91
277,Female,Marketing,3,31,109,1626.25
278,Male,Product Management,1,83,161,2292.03
