Id,Voto,Etnia,ConfPol,LibEcon
1,Lisette,GMC,5,8
2,Flossie,Chevrolet,8,7
3,Daloris,Ford,2,6
4,Obadiah,Volkswagen,3,4
5,Amalle,Plymouth,8,10
6,Kore,Chevrolet,6,9
7,Buddy,BMW,2,10
8,Broderic,Ford,2,8
9,Cari,Lincoln,2,6
10,Peggy,Audi,7,9
11,Denise,Honda,2,10
12,Harmonie,Mitsubishi,3,3
13,Glynda,Pontiac,1,8
14,Catie,McLaren,8,6
15,Georas,Toyota,4,6
16,Ronnica,Toyota,4,8
17,Willy,Chevrolet,2,8
18,Eveline,GMC,2,7
19,Malory,BMW,5,3
20,Archibald,Dodge,10,6
21,Elton,Toyota,2,4
22,Jonah,Ford,4,6
23,Boote,Lotus,9,5
24,Corly,Volkswagen,10,9
25,Melinda,Mercedes-Benz,5,3
26,Leese,Buick,5,7
27,Lanny,Mercedes-Benz,3,2
28,Tallie,Cadillac,4,2
29,Babette,Honda,3,5
30,Phyllys,Audi,4,6
31,Adriano,Audi,5,2
32,Jon,Toyota,5,9
33,Kaitlin,Pontiac,6,9
34,Mac,Honda,7,5
35,Nanci,Chrysler,7,6
36,Milena,Nissan,4,5
37,Ninon,Acura,8,8
38,Blair,Lexus,3,7
39,Geri,Nissan,9,2
40,Lorilyn,Acura,3,10
41,Emlynn,GMC,3,6
42,Glynn,Pontiac,1,1
43,Allyce,Ferrari,7,3
44,Bennie,Kia,8,5
45,Bastien,Audi,3,2
46,Roland,Toyota,9,1
47,Valerye,Oldsmobile,1,5
48,Fenelia,Mercedes-Benz,2,4
49,Roderigo,Dodge,9,7
50,Daryl,Ford,9,6
51,Blinny,Mercury,10,7
52,Fred,Toyota,7,1
53,Billy,Pontiac,6,6
54,Maryl,Pontiac,9,4
55,Madge,GMC,2,5
56,Marieann,Ford,8,2
57,Meridith,Honda,7,5
58,Doralin,Mazda,1,10
59,Mallory,Chevrolet,1,9
60,Kordula,Honda,10,7
61,Spence,Chrysler,10,4
62,Pollyanna,Geo,5,3
63,Biddy,Mitsubishi,3,9
64,Pascale,Plymouth,1,5
65,Hedwig,Mercury,7,3
66,Gertie,Kia,4,8
67,Randolf,Toyota,10,9
68,Melina,Lexus,4,3
69,Darcee,Acura,2,2
70,Pauly,Jeep,6,10
71,Honoria,Lincoln,9,1
72,Aeriel,Suzuki,6,3
73,Carolin,Eagle,8,9
74,Constancy,Ford,7,3
75,Martynne,Ford,7,8
76,Barth,GMC,4,6
77,Doroteya,Mercedes-Benz,7,5
78,Perceval,Toyota,3,9
79,Flin,BMW,2,6
80,Brnaba,Nissan,6,1
81,Harry,Chevrolet,8,8
82,Gussie,Lotus,10,3
83,Kimberly,Mercedes-Benz,7,8
84,Aguistin,Dodge,9,7
85,Kippie,Volkswagen,8,7
86,Trixie,Lincoln,7,1
87,Halley,Chevrolet,7,7
88,Dugald,Porsche,3,4
89,Gary,Lexus,10,7
90,Meridith,Nissan,7,6
91,Mala,Toyota,4,10
92,Sax,Cadillac,6,5
93,Carry,Isuzu,5,9
94,Maxi,Chevrolet,4,1
95,Christin,Ford,10,10
96,Georas,Volvo,5,2
97,Alexio,Ford,7,7
98,Borden,Mercedes-Benz,9,1
99,Othello,BMW,10,7
100,Shannen,Jaguar,4,8
101,Stacy,Audi,5,2
102,Mathew,Lexus,4,4
103,Jillane,Aston Martin,10,4
104,Ryley,Mitsubishi,7,10
105,Judas,Lincoln,6,5
106,Idalina,Chevrolet,9,3
107,Tris,Lexus,8,6
108,Fabe,GMC,7,1
109,Cad,Mitsubishi,6,4
110,Trudy,Ford,8,6
111,Linn,Maserati,1,7
112,Lewiss,Hyundai,8,1
113,Trumaine,BMW,10,9
114,Noella,Kia,2,8
115,Idell,Lamborghini,6,6
116,Baird,Ford,1,4
117,Bessie,BMW,8,3
118,Tannie,Lexus,5,6
119,Paulita,Nissan,2,8
120,Roxi,Mercury,4,10
121,Alexandros,Pontiac,4,7
122,Calvin,BMW,10,3
123,Chas,Ford,6,9
124,Kimberley,Jeep,8,7
125,Fancie,Lincoln,5,7
126,Leda,Chevrolet,5,4
127,Malinda,Mitsubishi,7,5
128,Orsola,Infiniti,1,8
129,Manuel,Ford,1,6
130,Artemis,Hyundai,6,5
131,Rockwell,BMW,8,7
132,Fayette,Buick,1,4
133,Ellis,Ford,2,1
134,Andonis,Cadillac,8,9
135,Jed,Hyundai,6,2
136,Correy,Toyota,3,9
137,Allx,Ford,9,1
138,Pall,Mercedes-Benz,1,7
139,Elmer,Pontiac,10,7
140,Emlen,Kia,1,1
141,Veradis,Mercedes-Benz,6,3
142,Nathanial,Honda,5,9
143,Evy,Chevrolet,10,4
144,Ulick,Mazda,8,4
145,Penny,Chevrolet,1,7
146,Maximo,Acura,5,10
147,Perceval,Dodge,9,9
148,Rafaello,Jaguar,4,1
149,Wilma,Mercedes-Benz,1,8
150,Venita,Ford,6,5
151,Ashlee,GMC,6,9
152,Roderic,Ford,3,9
153,Belicia,Mazda,2,8
154,Arri,Toyota,8,10
155,Merl,Toyota,1,2
156,Tanner,Chevrolet,8,3
157,Murielle,Audi,6,10
158,Kippie,Lexus,5,7
159,Eadie,Dodge,2,10
160,Venita,Jaguar,3,1
161,Cornelle,Mazda,4,4
162,Bo,Chevrolet,8,9
163,Thorpe,Honda,4,3
164,Boony,Cadillac,4,4
165,Dodie,Mazda,4,10
166,Fremont,Jeep,4,3
167,Anatollo,Cadillac,5,2
168,Gillian,Lexus,4,5
169,Dody,BMW,3,1
170,Gladys,Subaru,4,8
171,Rubia,Mercedes-Benz,2,2
172,Concordia,Audi,4,9
173,Layne,Lexus,9,4
174,Claudelle,Ford,10,1
175,Eleonora,Honda,1,10
176,Talbot,Hummer,10,2
177,Davida,Honda,2,9
178,Maggee,Acura,1,1
179,Jens,Mercedes-Benz,7,8
180,Marita,Jeep,1,10
181,Virgina,Land Rover,4,1
182,Trude,Mazda,9,2
183,Kelley,Ford,2,5
184,Berk,Nissan,8,3
185,Llewellyn,Dodge,8,3
186,Linzy,Jeep,6,4
187,Ingeborg,Mercury,8,5
188,Patricia,Nissan,8,9
189,Conn,Ford,7,2
190,Christos,Ford,9,9
191,Shermie,Buick,5,4
192,Rodolphe,Ford,1,9
193,Aguistin,Ford,9,2
194,Kym,Chevrolet,7,7
195,Iseabal,Lexus,5,7
196,Aidan,Nissan,10,7
197,Katrina,Mitsubishi,8,4
198,Dotti,Suzuki,10,2
199,Kathye,Mercedes-Benz,5,2
200,Eziechiele,Toyota,5,1
201,Ramsey,Ferrari,3,2
202,Jimmie,Ford,4,10
203,Zoe,Oldsmobile,3,3
204,Ozzie,Eagle,10,1
205,Agnesse,Acura,10,2
206,Sibyl,Chevrolet,7,4
207,Karole,Mercedes-Benz,8,7
208,Alta,Audi,10,10
209,Olvan,Mazda,4,9
210,Cosetta,Chrysler,6,5
211,Gussi,Chrysler,7,8
212,Cordy,Ford,2,1
213,Chaunce,Chevrolet,7,3
214,Lucy,Honda,4,2
215,Averil,Chrysler,3,7
216,Ezequiel,Land Rover,9,2
217,Gert,Audi,2,5
218,Bartholomew,Toyota,6,2
219,Boyd,Lexus,4,10
220,Camilla,Chrysler,9,3
221,Ernesta,Chevrolet,4,7
222,Carmen,Chevrolet,5,8
223,Kati,Toyota,7,2
224,Meredeth,Honda,4,7
225,Malvina,Land Rover,9,1
226,Giulietta,Pontiac,1,8
227,Corey,Ford,1,2
228,Alexander,GMC,9,5
229,Catharina,Dodge,5,7
230,Calley,Lexus,3,6
231,Kiley,Hummer,10,6
232,Ann-marie,Pontiac,3,7
233,Mandie,Maybach,7,6
234,Edy,Mazda,4,10
235,Molly,Kia,8,9
236,Free,Land Rover,7,5
237,Riane,Audi,1,6
238,Nevile,Mitsubishi,9,9
239,Shanon,Volkswagen,6,5
240,Irv,GMC,2,9
241,Jenny,BMW,8,9
242,Micaela,Mazda,6,8
243,Margarita,Porsche,2,3
244,Constance,Mitsubishi,9,1
245,Jerrome,Acura,9,1
246,Archy,Subaru,7,6
247,Tori,Chevrolet,4,3
248,Terrence,Nissan,4,1
249,Amanda,GMC,3,4
250,Eleanor,Saturn,8,3
251,Deane,Aston Martin,6,5
252,Goldi,Subaru,7,6
253,Cherie,Dodge,5,3
254,Corrinne,Subaru,3,10
255,Cornall,Chevrolet,4,4
256,Lemuel,Honda,2,6
257,Zondra,Chevrolet,7,2
258,Kennan,Toyota,5,4
259,Vivia,Subaru,8,9
260,Michelina,Infiniti,7,7
261,Shelagh,Mazda,6,10
262,Eustacia,BMW,9,1
263,Emmalynn,Ford,6,5
264,Mufinella,Subaru,9,7
265,Waylan,BMW,1,10
266,Prisca,Isuzu,2,10
267,Raddie,BMW,10,8
268,Betteanne,Mazda,3,2
269,Rosalind,Volkswagen,7,6
270,Agretha,Lexus,1,2
271,Karoly,Volvo,6,5
272,Cesya,Hyundai,8,5
273,Susy,Toyota,10,8
274,Noelle,Chevrolet,1,8
275,D'arcy,Mazda,4,9
276,Bing,Chevrolet,10,4
277,Jessi,Nissan,4,3
278,Bettina,GMC,2,6
279,Eloise,Pontiac,7,10
280,Jeanie,Cadillac,9,2
281,Roxanna,Volvo,8,4
282,Kimmy,Nissan,10,7
283,Daveta,Mitsubishi,7,8
284,Cherye,Chevrolet,10,8
285,Fidelity,Mercedes-Benz,5,7
286,Stefan,Plymouth,5,7
287,Eugen,Toyota,8,8
288,Drusi,Mitsubishi,7,6
289,Arni,Saab,4,3
290,Don,Pontiac,9,8
291,Padraic,Jeep,5,7
292,Prinz,Suzuki,7,8
293,Harrison,Volvo,3,3
294,Rusty,Buick,2,1
295,Carney,Ford,5,1
296,Jandy,Mitsubishi,1,9
297,Cassandra,Pontiac,10,5
298,Currey,BMW,1,5
299,Ewen,Chrysler,2,9
300,Darlene,Ford,7,8
301,Rurik,Aston Martin,4,8
302,Chickie,Chevrolet,9,6
303,Glori,Mazda,8,3
304,Anneliese,Toyota,1,7
